id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1,37.3878517,127.1196365,37.3875704,127.1193844,287284810,2876310076,38.399,0.0,"LINESTRING (127.1196365 37.3878517, 127.1195984 37.3878098, 127.1193844 37.3875704)",none,0.0,False,0
2,37.3886786,127.0939028,37.389143,127.0940378,437306835,2879174414,52.998999999999995,0.0,"LINESTRING (127.0939028 37.3886786, 127.0939375 37.3887924, 127.0940378 37.389143)",stream: 운중천,0.0,False,1
3,37.3899186,127.0881128,37.3903514,127.0882649,437306853,2879174428,49.967,0.0,"LINESTRING (127.0881128 37.3899186, 127.0881445 37.3900043, 127.0882649 37.3903514)",park: Unnamed,0.0,False,0
4,37.3931905,127.0759293,37.3931419,127.0753005,1576351435,4866120916,55.812,0.0,,none,0.0,False,0
5,37.3931905,127.0759293,37.3932155,127.0766313,1576351435,2879103609,62.079,0.0,,none,0.0,False,0
6,37.3931905,127.0759293,37.3952638,127.0760716,1576351435,1576351458,233.13399999999996,-1.2600001239303995,"LINESTRING (127.0759293 37.3931905, 127.0759487 37.3933811, 127.0759577 37.3934809, 127.0759671 37.3935855, 127.0759775 37.393702, 127.0759872 37.3938098, 127.075998 37.3939306, 127.0760104 37.3940689, 127.0760249 37.3942307, 127.0760352 37.3943448, 127.0760446 37.3944497, 127.0761145 37.3947439, 127.076168 37.3948589, 127.0761384 37.3949782, 127.0760716 37.3952638)",wood: Unnamed,28.0,True,0
7,37.3952638,127.0760716,37.3969686,127.0791293,1576351458,1576486082,337.05899999999997,4.450259450125943,"LINESTRING (127.0760716 37.3952638, 127.0762432 37.3954002, 127.0764471 37.3954855, 127.0767475 37.3955963, 127.0770157 37.395673, 127.077241 37.3957582, 127.0774411 37.3958264, 127.077638 37.3960565, 127.0778311 37.3962526, 127.0781959 37.3964231, 127.0784748 37.3965424, 127.0788181 37.396747, 127.0789362 37.3967981, 127.0790783 37.396943, 127.0791293 37.3969686)",wood: Unnamed,15.0,True,0
8,37.3952638,127.0760716,37.3931905,127.0759293,1576351458,1576351435,233.134,2.743419940639047,"LINESTRING (127.0760716 37.3952638, 127.0761384 37.3949782, 127.076168 37.3948589, 127.0761145 37.3947439, 127.0760446 37.3944497, 127.0760352 37.3943448, 127.0760249 37.3942307, 127.0760104 37.3940689, 127.075998 37.3939306, 127.0759872 37.3938098, 127.0759775 37.393702, 127.0759671 37.3935855, 127.0759577 37.3934809, 127.0759487 37.3933811, 127.0759293 37.3931905)",wood: Unnamed,-28.0,False,0
9,37.3946053,127.0926901,37.3946895,127.0926499,1576486008,1576486080,10.014,0.0,,none,0.0,False,0
10,37.3946053,127.0926901,37.393965,127.0931783,1576486008,1576486015,84.374,0.0,"LINESTRING (127.0926901 37.3946053, 127.0927741 37.3944581, 127.0929471 37.3942983, 127.0930114 37.3942248, 127.0930496 37.3941184, 127.0931067 37.3940266, 127.0931783 37.393965)",peak: 금토산,0.0,False,0
11,37.3946053,127.0926901,37.3941538,127.0920666,1576486008,7836909817,76.84199999999998,0.0,"LINESTRING (127.0926901 37.3946053, 127.0926024 37.394537, 127.0925149 37.3945095, 127.0923432 37.3943561, 127.092193 37.3941856, 127.0920666 37.3941538)",none,0.0,False,0
12,37.3986209,127.0854268,37.3974617,127.0844276,1576486009,1576486025,179.22199999999998,-5.370578130860486,"LINESTRING (127.0854268 37.3986209, 127.0854329 37.3985889, 127.0853765 37.3985388, 127.0852518 37.398461, 127.085129 37.3984494, 127.0850319 37.398395, 127.0847669 37.3983461, 127.0847422 37.3982586, 127.0847261 37.3981425, 127.0846207 37.3980616, 127.0844954 37.3979326, 127.0844115 37.3977846, 127.0843881 37.3976854, 127.0843828 37.397598, 127.0844069 37.3975256, 127.0844276 37.3974617)",peak: 금토산,18.0,True,0
13,37.3986209,127.0854268,37.4014098,127.0935541,1576486009,11224790375,913.88,-10.942355670328707,"LINESTRING (127.0854268 37.3986209, 127.085453 37.3987508, 127.0854885 37.3988106, 127.0856896 37.399045, 127.0858794 37.3991098, 127.0860034 37.3992239, 127.0861187 37.3994882, 127.0862737 37.399683, 127.0863843 37.3999036, 127.0864427 37.400024, 127.086601 37.4000687, 127.0867303 37.4001956, 127.0873204 37.4003235, 127.0876068 37.4003414, 127.0877677 37.4003649, 127.0878354 37.4003916, 127.0880493 37.4004906, 127.0883101 37.400545, 127.0884892 37.400595, 127.0886046 37.4006738, 127.0887742 37.4006899, 127.0889291 37.4005609, 127.0890584 37.400528, 127.0896593 37.4003405, 127.0900884 37.4004087, 127.0904894 37.4004097, 127.0907912 37.4004438, 127.0910829 37.4004469, 127.0912834 37.4005131, 127.0914638 37.4005599, 127.0917025 37.4005428, 127.0918265 37.4006132, 127.091956 37.4007676, 127.0920558 37.4009115, 127.0921397 37.4010062, 127.0922363 37.4010286, 127.0923181 37.4010776, 127.0924045 37.4010873, 127.0925273 37.4011586, 127.0926359 37.4011927, 127.0927921 37.4012099, 127.0931013 37.4012108, 127.0932641 37.4012439, 127.0933172 37.4012417, 127.0933092 37.4013099, 127.0932917 37.4013631, 127.0932756 37.4014068, 127.093277 37.4014878, 127.0933186 37.4015038, 127.0934138 37.4014601, 127.0935541 37.4014098)",wood: Unnamed,-100.0,False,0
14,37.3986209,127.0854268,37.3974286,127.0880735,1576486009,11224790406,295.65799999999996,-11.499773386818555,"LINESTRING (127.0854268 37.3986209, 127.0856917 37.3986752, 127.0859814 37.3986858, 127.0862308 37.3986496, 127.0864776 37.3985558, 127.0866063 37.398477, 127.086904 37.3984344, 127.0871294 37.3983534, 127.0872501 37.3982426, 127.0874029 37.3980061, 127.0874646 37.3979336, 127.0875826 37.397842, 127.0880225 37.3975671, 127.0880815 37.3974819, 127.0880735 37.3974286)",none,-34.0,False,0
