u_id,r_id,time_taken,preferrence,rating
0,1171,48.99,park,5
0,852,41.97,park,5
0,728,41.11,river,1
0,752,29.06,river,1
0,747,33.49,river,1
0,1303,24.96,park,5
0,1307,28.21,park,5
0,860,20.16,park,5
0,891,35.95,river,3
0,870,20.0,park,5
1,424,42.99,park,5
1,414,21.67,park,5
1,377,59.72,mountain,2
1,187,25.69,river,5
1,174,38.45,river,5
1,183,28.09,river,5
1,154,53.09,river,5
1,188,31.02,river,5
1,189,22.1,river,5
1,170,47.35,river,5
2,408,42.79,park,5
2,700,53.48,park,5
2,159,46.09,river,5
2,158,46.07,river,5
2,571,38.91,park,5
2,569,31.49,park,5
2,308,21.66,river,5
2,331,49.68,river,5
2,182,27.21,river,5
2,169,35.6,river,5
3,830,56.06,park,5
3,903,47.52,river,2
3,448,56.74,river,1
3,1024,44.06,park,5
3,994,24.77,park,5
3,826,30.35,mountain,5
3,459,25.72,river,3
3,991,44.33,park,5
3,733,26.61,river,1
3,1022,45.22,park,5
4,967,50.96,mountain,5
4,1260,26.22,mountain,5
4,1209,31.18,river,5
4,1408,41.89,mountain,5
4,1256,41.54,mountain,5
4,1195,46.77,river,5
4,1397,51.08,mountain,5
4,1219,56.94,river,5
4,1116,28.18,mountain,5
4,1183,47.4,river,5
5,1002,27.65,park,3
5,738,56.99,river,5
5,862,29.31,park,2
5,1163,21.53,park,1
5,1014,48.24,park,2
5,756,36.5,river,5
5,809,50.99,mountain,1
5,1016,33.75,park,2
5,1285,37.2,park,1
5,891,27.66,river,5
6,1181,41.78,river,1
6,1030,43.56,river,2
6,1454,34.78,park,3
6,1039,34.03,river,1
6,1107,48.08,mountain,5
6,1453,24.5,park,2
6,1188,47.59,river,1
6,1447,55.2,park,3
6,925,57.43,river,3
6,1476,29.79,park,2
7,1446,40.68,park,1
7,732,46.48,river,5
7,588,30.65,river,5
7,353,46.89,mountain,3
7,1090,23.34,mountain,2
7,1082,57.2,mountain,2
7,853,57.96,park,2
7,750,55.17,river,5
7,989,27.64,park,1
7,620,43.27,river,5
8,1126,28.0,mountain,5
8,1102,42.93,mountain,5
8,1285,50.67,park,3
8,765,21.06,river,5
8,467,32.17,river,5
8,447,30.27,river,5
8,596,55.06,river,5
8,1142,46.18,park,1
8,903,42.56,river,5
8,1082,49.07,mountain,5
9,987,54.4,park,2
9,736,54.44,river,5
9,754,31.75,river,5
9,437,57.09,river,5
9,773,54.6,river,5
9,520,28.83,mountain,5
9,843,43.55,park,3
9,788,34.98,mountain,5
9,622,42.22,river,5
9,1160,35.19,park,2
10,1005,26.96,park,3
10,1094,27.5,mountain,2
10,738,41.01,river,5
10,625,45.45,river,5
10,826,56.47,mountain,2
10,816,59.31,mountain,3
10,1314,28.29,park,1
10,871,37.83,park,2
10,1325,56.31,park,1
10,744,43.73,river,5
11,161,39.34,river,2
11,197,23.55,river,2
11,318,35.41,river,1
11,175,31.18,river,2
11,180,43.49,river,1
11,584,39.81,park,5
11,306,29.75,river,2
11,571,32.57,park,5
11,171,24.6,river,1
11,162,23.17,river,1
12,1041,52.91,river,3
12,1183,25.8,river,1
12,950,51.35,mountain,5
12,1276,25.12,mountain,5
12,1083,34.5,mountain,5
12,1256,32.6,mountain,5
12,1356,52.03,river,1
12,1408,40.45,mountain,5
12,977,47.97,mountain,5
12,970,31.16,mountain,5
13,850,32.8,park,1
13,1278,25.69,park,3
13,448,57.07,river,1
13,1022,34.11,park,2
13,482,20.45,river,3
13,1110,43.24,mountain,5
13,361,44.74,mountain,5
13,752,31.65,river,3
13,829,36.33,park,2
13,992,25.11,park,3
14,162,27.94,river,3
14,690,55.15,park,5
14,331,52.32,river,2
14,434,51.15,park,5
14,168,27.86,river,1
14,571,48.89,park,5
14,304,53.46,river,3
14,697,41.79,park,5
14,568,59.15,park,5
14,197,32.13,river,2
15,753,46.27,river,5
15,660,47.58,mountain,5
15,992,57.29,park,2
15,865,30.88,park,3
15,1133,22.85,park,3
15,998,28.99,park,3
15,353,57.17,mountain,5
15,900,47.52,river,5
15,466,27.18,river,5
15,519,58.92,mountain,5
16,195,26.86,river,3
16,419,38.3,park,5
16,312,22.65,river,1
16,163,49.51,river,2
16,693,39.06,park,5
16,156,47.13,river,2
16,323,22.36,river,1
16,176,32.63,river,1
16,174,42.87,river,2
16,536,50.33,park,5
17,569,44.66,park,2
17,570,59.84,park,1
17,306,45.22,river,5
17,329,46.38,river,5
17,194,58.85,river,5
17,408,59.06,park,3
17,199,42.85,river,5
17,320,40.62,river,5
17,377,39.1,mountain,2
17,316,31.62,river,5
18,1310,20.06,park,5
18,763,30.51,river,2
18,615,56.73,river,3
18,886,48.01,river,3
18,868,34.86,park,5
18,741,59.48,river,3
18,869,56.27,park,5
18,649,22.98,mountain,2
18,1154,56.61,park,5
18,437,48.36,river,3
19,1446,34.28,park,5
19,448,26.56,river,3
19,1007,43.27,park,5
19,1165,58.33,park,5
19,1014,55.92,park,5
19,660,22.5,mountain,5
19,1003,42.6,park,5
19,447,59.51,river,3
19,588,21.09,river,3
19,1279,25.86,park,5
20,316,47.79,river,5
20,680,23.97,park,3
20,180,36.06,river,5
20,326,48.84,river,5
20,182,21.62,river,5
20,328,33.64,river,5
20,408,57.72,park,2
20,416,46.7,park,2
20,197,26.85,river,5
20,565,55.94,park,1
21,1133,27.48,park,2
21,1110,45.19,mountain,5
21,1078,37.16,mountain,5
21,1322,55.79,park,1
21,1128,38.53,park,2
21,710,52.15,park,3
21,805,46.19,mountain,5
21,877,37.32,park,3
21,741,40.73,river,5
21,891,47.92,river,5
22,402,40.68,park,3
22,328,26.83,river,5
22,318,25.67,river,5
22,682,36.39,park,3
22,550,54.87,park,3
22,536,34.48,park,1
22,434,20.52,park,3
22,565,58.21,park,3
22,700,54.7,park,2
22,186,53.54,river,5
23,1085,40.46,mountain,1
23,625,54.99,river,5
23,736,24.29,river,5
23,744,54.78,river,5
23,1094,55.13,mountain,3
23,1166,41.56,park,3
23,843,43.61,park,3
23,453,51.59,river,5
23,751,56.14,river,5
23,957,51.42,mountain,1
24,490,24.18,mountain,2
24,1284,45.24,park,5
24,860,37.22,park,5
24,754,59.61,river,5
24,627,44.1,river,5
24,999,35.21,park,5
24,839,42.93,park,5
24,1078,45.8,mountain,1
24,1020,30.93,park,5
24,742,41.57,river,5
25,418,39.26,park,5
25,585,50.2,park,5
25,186,38.35,river,5
25,191,25.8,river,5
25,162,30.37,river,5
25,565,41.21,park,5
25,171,27.45,river,5
25,176,42.72,river,5
25,313,49.65,river,5
25,158,52.92,river,5
26,746,27.55,river,2
26,1115,57.41,mountain,3
26,1446,44.29,park,5
26,597,58.79,river,3
26,455,27.47,river,3
26,805,53.84,mountain,3
26,1140,46.47,park,5
26,765,38.89,river,3
26,1303,56.14,park,5
26,1327,23.49,park,5
27,1183,52.46,river,5
27,1034,59.36,river,5
27,952,38.45,mountain,1
27,1281,29.41,park,5
27,1059,40.33,river,5
27,1258,20.04,mountain,1
27,1347,24.43,river,5
27,1215,41.82,river,5
27,1251,58.21,mountain,2
27,920,35.12,river,5
28,1416,48.46,mountain,5
28,1280,55.38,park,3
28,952,44.34,mountain,5
28,907,56.5,river,3
28,1445,42.75,park,3
28,926,40.52,river,1
28,878,25.17,river,2
28,1098,36.65,mountain,5
28,1350,26.07,river,3
28,1052,32.48,river,1
29,1222,54.23,river,2
29,1226,45.42,river,3
29,1107,54.64,mountain,5
29,922,26.37,river,1
29,1337,27.7,river,3
29,1037,29.25,river,2
29,1060,50.85,river,1
29,1302,27.55,park,3
29,1036,31.88,river,1
29,1050,58.5,river,1
30,482,44.23,river,5
30,1294,32.64,park,5
30,929,22.62,mountain,1
30,742,37.61,river,5
30,851,24.41,park,5
30,961,51.99,mountain,1
30,1163,33.24,park,5
30,1295,25.79,park,5
30,1245,49.39,mountain,2
30,1025,43.28,park,5
31,1064,22.29,river,5
31,1472,23.72,park,1
31,902,42.56,river,5
31,1450,22.59,park,1
31,1033,53.68,river,5
31,1048,42.65,river,5
31,1448,23.22,park,3
31,1392,55.97,mountain,5
31,938,45.89,mountain,5
31,1211,38.03,river,5
32,159,54.99,river,5
32,724,29.47,park,5
32,330,26.48,river,5
32,306,46.57,river,5
32,568,41.32,park,5
32,404,35.15,park,5
32,716,55.59,park,5
32,388,25.57,park,5
32,189,37.87,river,5
32,416,27.47,park,5
33,1203,23.24,river,1
33,906,56.12,river,3
33,1042,34.84,river,1
33,1116,31.02,mountain,5
33,1047,22.52,river,1
33,1334,51.79,river,1
33,911,51.0,river,1
33,968,40.69,mountain,5
33,1308,32.71,park,5
33,1429,51.84,park,5
34,1041,29.17,river,5
34,1192,46.34,river,5
34,1360,42.35,river,5
34,1044,22.9,river,5
34,1356,31.71,river,5
34,907,54.58,river,5
34,1215,38.7,river,5
34,1368,46.14,river,5
34,1353,40.51,river,5
34,1335,44.11,river,5
35,1216,44.06,river,5
35,1035,57.2,river,5
35,921,42.97,river,5
35,1236,49.36,mountain,5
35,1460,56.44,park,1
35,1040,54.29,river,5
35,911,47.79,river,5
35,1107,25.26,mountain,5
35,970,50.36,mountain,5
35,1454,36.62,park,2
36,1406,56.2,mountain,5
36,1337,25.68,river,3
36,1335,31.27,river,2
36,1070,43.11,river,1
36,1276,30.1,mountain,5
36,1067,40.29,river,3
36,1225,28.88,river,2
36,1433,55.07,park,3
36,1034,58.09,river,1
36,911,57.61,river,1
37,1141,58.34,park,2
37,1094,24.56,mountain,5
37,1282,56.49,park,2
37,1003,52.24,park,2
37,1462,38.09,park,2
37,1115,38.59,mountain,5
37,457,58.87,river,5
37,1245,55.68,mountain,5
37,1140,44.23,park,3
37,912,22.81,river,5
38,748,21.03,river,1
38,986,30.22,park,5
38,825,53.98,mountain,1
38,890,46.26,river,3
38,1316,27.45,park,5
38,981,37.83,park,5
38,1310,29.28,park,5
38,1123,23.81,mountain,3
38,1282,28.83,park,5
38,1002,38.09,park,5
39,173,27.39,river,1
39,404,43.19,park,3
39,175,29.54,river,2
39,333,47.62,river,3
39,154,52.4,river,1
39,187,56.09,river,3
39,570,23.13,park,2
39,312,49.7,river,3
39,156,37.54,river,2
39,421,41.98,park,1
40,1392,44.46,mountain,2
40,894,39.15,river,5
40,1207,33.24,river,5
40,1371,43.14,river,5
40,1265,48.4,mountain,1
40,1317,42.7,park,5
40,1433,29.64,park,5
40,1442,31.94,park,5
40,1409,46.23,mountain,1
40,914,38.21,river,5
41,711,41.24,park,5
41,167,37.5,river,2
41,156,38.59,river,2
41,434,28.61,park,5
41,693,44.73,park,5
41,394,56.75,park,5
41,190,50.95,river,1
41,194,59.77,river,2
41,680,21.05,park,5
41,168,27.31,river,3
42,1255,30.53,mountain,5
42,850,51.84,park,5
42,1288,24.72,park,5
42,917,34.48,river,2
42,619,53.07,river,2
42,804,38.61,mountain,5
42,1296,43.56,park,5
42,1109,56.01,mountain,5
42,466,23.36,river,1
42,784,25.67,mountain,5
43,726,59.25,park,1
43,867,23.04,park,1
43,1313,37.4,park,3
43,476,20.0,river,1
43,731,23.23,river,3
43,765,40.28,river,1
43,604,23.6,river,3
43,1022,58.15,park,2
43,1151,35.79,park,3
43,1243,30.71,mountain,5
44,1386,39.59,mountain,3
44,1186,52.99,river,3
44,915,34.34,river,1
44,1242,40.72,mountain,3
44,1448,45.39,park,5
44,1188,54.82,river,2
44,926,28.55,river,3
44,1280,49.7,park,5
44,1347,45.66,river,2
44,1042,34.29,river,1
45,902,48.78,river,2
45,1188,41.51,river,3
45,898,20.57,river,1
45,1038,24.09,river,1
45,910,57.43,river,2
45,970,26.68,mountain,1
45,962,28.54,mountain,2
45,1473,27.58,park,5
45,888,30.3,river,1
45,1185,24.18,river,3
46,155,54.54,river,5
46,190,26.14,river,5
46,158,38.95,river,5
46,680,25.24,park,1
46,434,35.28,park,3
